,,0,1,2,3
11,6,1709965582.1856358,1709965582.8641822,1709965582.8642447,1709965582.217046
11,7,1709965582.217046,1709965582.8931925,1709965582.8932545,1709965582.2481744
12,0,1709965701.9997933,1709965702.9481509,1709965702.948234,1709965702.0245564
12,1,1709965702.0245564,1709965702.976919,1709965702.9769814,1709965702.055713
12,2,1709965702.055713,1709965703.0083437,1709965703.0084054,1709965702.087136
12,3,1709965702.087136,1709965703.0353734,1709965703.0354357,1709965702.1027596
12,4,1709965702.1027596,1709965703.0643535,1709965703.0644152,1709965702.1339984
12,5,1709965702.1339984,1709965703.0921097,1709965703.0921714,1709965702.1652737
12,6,1709965702.1652737,1709965703.1214185,1709965703.1214802,1709965702.1964793
12,7,1709965702.1964793,1709965703.1497068,1709965703.1497684,1709965702.2277477
13,0,1709965823.0012844,1709965823.200093,1709965823.200178,1709965823.0337987
13,1,1709965823.0337987,1709965823.235299,1709965823.2353609,1709965823.049397
13,2,1709965823.064843,1709965823.2632878,1709965823.2633493,1709965823.0806384
13,3,1709965823.0806384,1709965823.292136,1709965823.2921977,1709965823.1118681
13,4,1709965823.1118681,1709965823.3219955,1709965823.3220572,1709965823.1429684
13,5,1709965823.1429684,1709965823.3506742,1709965823.3507357,1709965823.1898763
13,6,1709965823.1898763,1709965823.3915606,1709965823.3916225,1709965823.2211041
13,7,1709965823.2211041,1709965823.4195743,1709965823.4196362,1709965823.2369082
14,0,1709965943.0011396,1709965943.4674497,1709965943.4675317,1709965943.05123
14,1,1709965943.05123,1709965943.6199102,1709965943.619972,1709965943.177131
14,2,1709965943.177131,1709965943.6599538,1709965943.6600153,1709965943.2402573
14,3,1709965943.2402573,1709965943.8265076,1709965943.8265698,1709965943.3981683
14,4,1709965943.3981683,1709965943.8761744,1709965943.876237,1709965943.4457285
14,5,1709965943.4457285,1709965944.0287306,1709965944.028793,1709965943.6183736
14,6,1709965943.6183736,1709965944.0873516,1709965944.087414,1709965943.665155
14,7,1709965943.665155,1709965944.2337077,1709965944.2337697,1709965943.8215
